ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
70,3-105-33/59สป,บริษัท บางปลา รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 89/8,9,ตะวันธารบุตร 2 ,เทพารักษ์,บางปลา,บางพลี,สมุทรปราการ,10540,,39000000,10,283
71,3-105-34/48สป,บริษัท ชูโชค รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 34/9,3,-,-,บางปลา,บางพลี,สมุทรปราการ,10540,083-1374777,6000000,7,9.5
72,3-105-37/47สป,ห้างหุ้นส่วนจำกัด ช.เจริญค้าของเก่า,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 36,3,-,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,0-2323-1285,3500000,9,120
73,3-105-4/55สป,นางสาวเนาวรัตน์ วริวงศ์,ัคัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก เศษกระดาษ เศษยาง เศษโลหะต่างๆ,เลขที่ 174,8,สุขสวัสดิ์ 72 ย่อย 2/4,สุขสวัสดิ์,บางครุ,พระประแดง,สมุทรปราการ,10130,,2100000,28,45
74,3-105-40/49สป,บริษัท ทนงค้าของเก่า จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย  เฉพาะเศษกระดาษ  เศษพลาสติก  เศษไม้  เศษยาง  และเศษโลหะต่าง ๆ,เลขที่ 430,3, -,สุขุมวิท,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,0 2710 8145,2100000,10,15
75,3-105-40/53สป,ที.ซี. รีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 624,3,เทวา 1,เทพารักษ์,เทพารักษ์,เมืองสมุทรปราการ,สมุทรปราการ,10270,02 3944823,5500000,11,90
76,3-105-41/48สป,ห้างหุ้นส่วนจำกัด รวม เอส.รีไซเคิล 2000,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก,เลขที่ 39/2,0,12 ข้างโรงเรียนสมุทรปราการ,สุขุมวิท,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,10270,,2600000,40,108
77,3-105-42/54สป,ห้างหุ้นส่วนจำกัด ปรีชา รีไซเคิล (2004),คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 1/2,11,-,ปู่เจ้าสมิงพราย,บางหญ้าแพรก,พระประแดง,สมุทรปราการ,10130,,9335000,10,25
78,3-105-42/59สป,นางสาวเหมือนใจ แซ่อิ่น,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ โฉนดที่ดินเลขที่ 3566,1,-,บ้านสีล้ง-บางพลีน้อย,คลองด่าน,บางบ่อ,สมุทรปราการ,50350,,50100000,10,210
79,3-105-44/49สป,ห้างหุ้นส่วนจำกัด ไพบูลย์พาณิชย์ ค้าของเก่า,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 39/4,5,วัดบางหญ้าแพรก,ปู่เจ้าสมิงพราย,บางหญ้าแพรก,พระประแดง,สมุทรปราการ,10130,0 2385 93316,6050000,11,20
80,3-105-44/53สป,รัชนีพาณิชย์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 329,2,ยิ่งเจริญ,บางพลี-ตำหรุ,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,10280,084 131 1188,15000000,27,42
81,3-105-46/49สป,บริษัท เอเซีย โพลีคอม จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 29/3,5, -,บางนา-ตราด,บางเสาธง,บางเสาธง,สมุทรปราการ,10540,,750000,8,287
82,3-105-47/53สป,บริษัท ที อาร์ ซี บิสชิเนส จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 140/ก,1,-,เทพารักษ์,บางเสาธง,บางเสาธง,สมุทรปราการ,10540,,0,10,63
